,gas,retention_time,peak_area,peak_height,correction_factor,file_name,sample_type,column,carrier
1,CH4,3.120,568.7885,63.374,0.0206,data/GC_Data/Feb/03NOV22FID_TC_12.RES,p83m(4C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.956,32263.8407,3227.543,4.1320,data/GC_Data/Feb/03NOV22FID_TC_12.RES,p83m(4C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.142,470.3548,52.425,0.0170,data/GC_Data/Feb/20OCT22FID_TC_02.RES,p83m(-4C)7d_T4_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.997,33714.9889,3370.506,4.3178,data/GC_Data/Feb/20OCT22FID_TC_02.RES,p83m(-4C)7d_T4_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.517,3305.0400,470.822,0.1265,data/GC_Data/Feb/14OCT22FID_TC_03.RES,0.5ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.088,3280.3166,425.005,0.1189,data/GC_Data/Feb/14OCT22FID_TC_03.RES,0.5ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.950,3532.3582,389.448,0.4524,data/GC_Data/Feb/14OCT22FID_TC_03.RES,0.5ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.110,375.3462,47.680,0.0136,data/GC_Data/Feb/28OCT22FID_TC_20.RES,p35m(12C)180d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.959,4679.9197,518.621,0.5993,data/GC_Data/Feb/28OCT22FID_TC_20.RES,p35m(12C)180d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,C02,3.986,2315.7346,263.319,0.2966,data/GC_Data/Feb/28OCT22FID_TC_34.RES,p83m(12C)180d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.510,23205.6481,2991.396,0.8880,data/GC_Data/Feb/28OCT22FID_TC_09.RES,1ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.076,23180.0398,2829.912,0.8399,data/GC_Data/Feb/28OCT22FID_TC_09.RES,1ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
